date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:14:27	70/70	---M--	200	added ('OK')	text/plain	etag:%2246-58872abe44aff%22	https://www.capanicus.com/robots.txt		(from )
09:14:29	275766/275766	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2003:44:24%20GMT	https://www.capanicus.com/	C:/My%20Web%20Sites/dailzer/www.capanicus.com/index.html	(from )
09:14:30	4422/4422	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221146-5dfc1c6111bb7%22	https://www.capanicus.com/favicon.ico	C:/My%20Web%20Sites/dailzer/www.capanicus.com/favicon.ico	(from https://www.capanicus.com/)
09:14:30	140936/140936	---MCZ	200	added ('OK')	text/css	etag:W/%2204aca1f4cd3ec3c05a75a879f3be75a3%22	https://stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	C:/My%20Web%20Sites/dailzer/stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	(from https://www.capanicus.com/)
09:14:30	227810/227810	---M--	200	added ('OK')	image/jpeg	etag:%22379e2-5ddc8e0fd4897%22	https://www.capanicus.com/images/og.jpg	C:/My%20Web%20Sites/dailzer/www.capanicus.com/images/og.jpg	(from https://www.capanicus.com/)
09:14:31	4112/4112	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-1010%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.2.0/assets/owl.carousel.css	C:/My%20Web%20Sites/dailzer/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.2.0/assets/owl.carousel.css	(from https://www.capanicus.com/)
09:14:31	77749/77749	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-12fb5%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.0/animate.css	C:/My%20Web%20Sites/dailzer/cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.0/animate.css	(from https://www.capanicus.com/)
09:14:32	156228/156228	---MCZ	200	added ('OK')	text/css	etag:W/%22aa1272633e7e552395d147a499bad186%22	https://pro.fontawesome.com/releases/v5.10.0/css/all.css	C:/My%20Web%20Sites/dailzer/pro.fontawesome.com/releases/v5.10.0/css/all.css	(from https://www.capanicus.com/)
09:14:32	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2023%20Jan%202024%2003:44:29%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/dailzer/www.googletagmanager.com/gtm.75445.delayed	(from https://www.capanicus.com/)
09:14:32	230066/230066	---M--	200	added ('OK')	text/css	etag:%22382b2-60e1d86aa4bf8%22	https://www.capanicus.com/css/style.css	C:/My%20Web%20Sites/dailzer/www.capanicus.com/css/style.css	(from https://www.capanicus.com/)
09:14:33	269857/269857	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2003:44:29%20GMT	https://www.capanicus.com/contact-us.php	C:/My%20Web%20Sites/dailzer/www.capanicus.com/contact-us.html	(from https://www.capanicus.com/)
09:14:35	258677/258677	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2003:44:31%20GMT	https://www.capanicus.com/voip-solution.php	C:/My%20Web%20Sites/dailzer/www.capanicus.com/voip-solution.html	(from https://www.capanicus.com/)
09:14:36	271477/271477	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2003:44:31%20GMT	https://www.capanicus.com/webrtc-application-development.php	C:/My%20Web%20Sites/dailzer/www.capanicus.com/webrtc-application-development.html	(from https://www.capanicus.com/)
